"Population","Latitude","Longitude","n"
"Adygei",44,39,15
"Balochi",30.5,66.5,22
"Bandu",0,37.9,10
"Basque",43,0,22
"Bedouin",31,35,44
"Bergamo",45.6,9.6,10
"Biaka",5.2,19.47,24
"Bougainville",-6.44,155.39,11
"Brahui",30.5,66.5,23
"Burusho",36.5,74,22
"Cambodian",12,105,8
"Colombian",4.5,-73.68,5
"Dai",21,100,5
"Daur",48.5,124,9
"Druze",32,35,40
"French",46,2,24
"Han",32.5,114,30
"Hazara",33.5,70,18
"Hezhen",47.5,133.5,7
"Japanese",38,138,27
"Kalash",36,71.5,21
"Karitiana",-9.31,-63.99,9
"Lahu",22,100,6
"Makrani",26,64,23
"Mandenka",14.3,-15.7,20
"Mayan",19.87,-89,19
"Mbuti",-3.6,21.8,10
"Miao",28,109,8
"Mongolian",48.5,119,8
"Mozabite",32,3,26
"Naxi",26,100,6
"Northen Han",36.8,112.3,10
"Orcadian",59,-3,13
"Oroqen",50.5,126.5,7
"Palestinian",32,35,43
"Papuan",-6.2,142.9,6
"Popuan",-5.1,141.1,8
"Pathan",33.5,70.5,22
"Pima",29,-110.9,12
"Russian",61,40,23
"San",-21.7,16.6,2
"Sardinian",40,9,24
"She",27,119,8
"Sindhi",25.5,69,22
"Surui",-22.6,-43.15,6
"Tu",36,101,8
"Tujia",29,109,8
"Tuscan",43,11,6
"Uygur",44,81,8
"Xibo",43.5,81.5,7
"Yakut",63,129.5,23
"Yi",28,103,8
"Yoruba",5.9,5.5,18
